1099,CLOSED,NTR: "plastic film", "plastic foam",SDG Ontology Framework, New term,2021-05-14 05:44:58 +0000 UTC
1096,CLOSED,NTR: "thermosetting disposition" , "thermosetting material",SDG Ontology Framework, New term,2021-05-13 09:33:28 +0000 UTC
1094,CLOSED,NTR: "plastisphere",SDG Ontology Framework, New term,2021-05-06 14:38:51 +0000 UTC
1093,OPEN,Merge agricultural process into agriculture,enhancement, possible domain conflict,2021-05-14 16:56:17 +0000 UTC
1091,OPEN,Makefile implementation of "ENVO Robot template and merge workflow" wiki page?,general-maintenance,2021-04-23 16:31:00 +0000 UTC
1089,OPEN,Consolidate ROBOT templates from #1030 and #1075,,2021-04-23 13:32:02 +0000 UTC
1088,CLOSED,ID range reservation for NMDC,,2021-04-22 17:31:18 +0000 UTC
1087,OPEN,robot query errors with envo owl artifacts,,2021-04-20 19:16:11 +0000 UTC
1086,OPEN,Remove legacy synonyms on ice sheet,,2021-04-14 20:01:16 +0000 UTC
1085,CLOSED,New subset - Required to update SLIM list in Makefile?,help wanted, documentation,2021-05-07 16:33:49 +0000 UTC
1083,CLOSED,NTR: "megaplastic particle", "macroplastic particle", "mesoplastic particle", "nanoplastic particle",SDG Ontology Framework, New term,2021-05-13 09:40:18 +0000 UTC
1081,CLOSED,NTR - Adding "thermoplastic material" and "thermoplasticity",SDG Ontology Framework, New term,2021-05-13 09:40:52 +0000 UTC
1079,CLOSED,NTR - plastic,SDG Ontology Framework, New term,2021-05-06 14:39:12 +0000 UTC
1077,CLOSED,Adding new ID-ranges for @iwilkie and @meichen-liu,,2021-04-08 09:14:55 +0000 UTC
1076,CLOSED,Request term for cheese subpart,,2021-04-06 18:54:21 +0000 UTC
1075,CLOSED,Jagadishcs term requests for NMDC: batch 2/2, 2021-04,,2021-06-08 13:18:59 +0000 UTC
1074,CLOSED,Unsatisfiable classes (using HermiT),bug,2021-05-14 15:55:52 +0000 UTC
1072,OPEN,ENVO is outside DL profile which causes reasoners to fail,,2021-09-03 03:14:56 +0000 UTC
1070,OPEN,NTR robot file of new transportation and medical infrastructure and other terms,,2021-04-07 08:44:33 +0000 UTC
1069,OPEN,Accidental equivalent definitions,bug,2021-04-08 03:45:20 +0000 UTC
1068,OPEN,Usage of terms from EnvO 'material entity' & 'food material' for MIxS env_medium,MIxS,2021-03-09 14:07:08 +0000 UTC
1067,OPEN,Request for new terms to be included in the EnvO that are already existing in PO & BTO,MIxS,2021-03-09 18:24:12 +0000 UTC
1066,OPEN,documentation/standards for defining axioms,documentation,2021-03-09 23:06:02 +0000 UTC
1065,CLOSED,Does ENVO want seasons?,,2021-03-02 21:20:39 +0000 UTC
1063,OPEN,manufactured product parent terms,enhancement, axiomatization,2021-05-14 16:55:00 +0000 UTC
1062,OPEN,Remove unreviewed terms,,2021-02-11 14:33:19 +0000 UTC
1061,OPEN,Envo Term request for Lime Buffer Capacity and Equilibrium Lime Buffer Capacity,,2021-02-04 18:00:17 +0000 UTC
1059,OPEN,Land as subclass or part of,thoughts,2021-03-09 21:34:07 +0000 UTC
1058,OPEN,Geological vs geographic features,,2021-01-24 19:55:49 +0000 UTC
1057,CLOSED,Should we subclass "System"?,wontfix,2021-03-09 19:15:36 +0000 UTC
1056,OPEN,Should "plateau" be a subclass of "Land"?,,2021-01-17 22:08:54 +0000 UTC
1055,OPEN,greenhouse biome?,,2021-04-26 09:34:30 +0000 UTC
1053,OPEN,Align with OEO,,2021-01-08 09:38:08 +0000 UTC
1052,OPEN,request term "freeze dried specimen",,2020-12-30 16:15:13 +0000 UTC
1051,OPEN,definition of environmental system/environment,,2020-12-16 19:11:11 +0000 UTC
1050,OPEN,request ENVO term for "subglacial water",,2020-12-14 09:27:53 +0000 UTC
1048,CLOSED,Request for creation of a new biome/broad-scale environmental context term:,wontfix,2021-03-09 14:53:36 +0000 UTC
1047,OPEN,request ENVO term for purified deionized water (e.g. milli q),,2021-03-10 07:53:12 +0000 UTC
1046,OPEN,Deprecate ENVO:alga replaced by PCO:alga excluding Cyanobacteria?,,2020-11-23 21:10:33 +0000 UTC
1045,OPEN,Same identifier assigned to several term through `alt_id`,,2020-12-01 22:38:53 +0000 UTC
1044,OPEN,Document requirements and usage of ENVO for earth-specific vs interplanetary use cases,documentation,2021-03-09 07:54:06 +0000 UTC
1042,OPEN,Correct part relation in Grain of Sand and in Sand,axiomatization,2021-03-09 21:12:52 +0000 UTC
1041,OPEN,NASA is using ENVO and other OBO foundry terms for definitions of terms,,2021-01-28 23:09:07 +0000 UTC
1039,OPEN,design patterns for emission processes,axiomatization,2021-03-09 17:10:48 +0000 UTC
1038,CLOSED,Addition to the Editor's Slack,,2020-11-23 21:04:16 +0000 UTC
1037,OPEN,high atmospheric level: Expand subClassOf A and B to two subClassOf axioms,axiomatization,2021-03-09 15:02:17 +0000 UTC
1036,OPEN,Suggested changes to use of PATO in cirrostratus cloud,axiomatization,2021-03-09 12:53:01 +0000 UTC
1034,OPEN,suggested axiom changes to ice hierarchy,axiomatization,2020-11-19 17:07:57 +0000 UTC
1033,OPEN,ice field proposed simplifications,axiomatization,2021-03-09 15:02:43 +0000 UTC
1030,OPEN,Jagadishcs term requests for NMDC: batch 1/2 2020-10 (env-medium and local-env),,2021-05-12 16:49:18 +0000 UTC
1029,OPEN,EnvO terms for host-associated samples,question,2020-11-23 19:40:06 +0000 UTC
1028,OPEN,Cryohackathon session Oct-14 and Nov-18,enhancement, mapping, SWEET,2020-11-23 19:59:33 +0000 UTC
1027,OPEN,Uberon anatomical entity vs CARO anatomical entity,,2020-11-09 01:31:01 +0000 UTC
1026,OPEN,Use travis to check curated TSVs/CSVs have UNIX line endings,,2021-04-06 07:53:52 +0000 UTC
1025,OPEN,New subclass of poultry manure: duck manure,,2020-10-06 15:12:24 +0000 UTC
1024,OPEN,New subclass of poultry manure: turkey manure,,2020-10-06 15:01:37 +0000 UTC
1023,OPEN,New subclass of poultry manure: chicken manure,,2020-10-06 13:57:13 +0000 UTC
1022,OPEN,Reclassify bovine dairy liquid manure under a new term bovine manure,,2020-10-06 13:01:21 +0000 UTC
1018,OPEN,review robot report 2020-09-30,,2020-10-14 19:18:31 +0000 UTC
1017,OPEN,For class 'eaves' the definition is included as 'has_narrrow_synonym',,2020-09-24 13:54:40 +0000 UTC
1015,OPEN,Add more precise measurements for classification of water by salinity,,2020-11-02 14:21:56 +0000 UTC
1014,CLOSED,Small lake biome is classified under freshwater lake biome,MIxS,2021-09-07 17:17:54 +0000 UTC
1013,OPEN,Add comment to 'eaves' describing function?,,2020-09-24 13:53:01 +0000 UTC
1012,OPEN,NTR: Famine (revisiting),,2021-03-30 20:24:45 +0000 UTC
1010,CLOSED,Cryohackathon session,enhancement,2020-10-14 18:52:14 +0000 UTC
1009,OPEN,NTR: snowpack water volume,enhancement,2020-09-10 14:20:47 +0000 UTC
1008,OPEN,NTR: human dwelling environment related terms,,2020-12-16 19:26:39 +0000 UTC
1006,OPEN,Mixture terms require new imports,,2020-12-15 23:54:14 +0000 UTC
